item_code,description,unit,qty_contract,unit_price_contract,total_contract,weight_contract_pct,qty_cco,unit_price_cco,total_cco,weight_cco_pct,qty_diff,total_diff
1.8.(1),Manajemen Keselamatan Lalu Lintas,,0.00,1.00,33500000.00,67000000.0000,1.00,33500000.00,33500000.00,0.1400,1.00,0.00
1.8.(2),Jembatan Sementara,,0.00,1.00,115381277.64,115381277.6400,1.00,115381277.64,115381277.64,0.4800,1.00,0.00
1.17 (1a),Pengujian Ph,,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (1b),Pengujian Oksigen Terlarut (DO),,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (1c),Pengujian Zat Padat Terlarut (TDS),,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (1d),Pengujian Zat Tersuspensi (TSS),,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (1e),Pengujian Biological Oxygen Demand (BOD),,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (1f),Pengujian Chemical Oxygen Demand (COD),,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (1g),Pengujian Coliform,,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (1h),Pengujian E. Coli,,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (1i),"Pengujian Destruksi Cu, Pb, Cd, Ni, Fe, Zn, Ag, Co, Mn",,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (1j),Pengujian Temperatur (Suhu),,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (1k),Pengujian Parameter Kualitas Air Lainnya:,,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (2a),Pengujian Vibrasi Lingkungan untuk Kenyamanan dan Kesehatan,,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17.(2b),Pengujian tingkat getaran kendaraan bermotor,,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (3b),Pengujian Sulfurdioksida (SO2),,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (3f),Pengujian Total Partikulat (TSP) - Debu,,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
1.17 (3h),Pengujian Parameter Udara Emisi dan Ambien lainnya ..,,0.00,18.00,500000.00,9000000.0000,18.00,500000.00,9000000.00,0.0400,18.00,8500000.00
